"ID_DISCENTE","ANO_INGRESSO","SEMESTRE_INGRESSO","TIPO_INGRESSO","CAMPUS","COD_CURSO","CURSO","NATURALIDADE","UF_NATURALIDADE","PAIS_NATURALIDADE","BAIRRO_ENDERECO","CIDADE_ENDERECO","UF_ENDERECO","SEXO","ANO_NASC","COTA","TIPO_COTA","ESCOLARIDADE_PAI","ESCOLARIDADE_MAE","DEFICIENCIA"
341111,2020,2,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,AGRESTINA,PE,BRA,CENTRO,AGRESTINA,PE,F,"2002",S,L2,ENSINO FUNDAMENTAL,ENSINO FUNDAMENTAL,N
342135,2020,2,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,AGRESTINA,PE,BRA,CENTRO,BEZERROS,PE,F,"2002",S,L2,ENSINO FUNDAMENTAL,ENSINO FUNDAMENTAL,N
340581,2020,2,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,AGRESTINA,PE,BRA,CIDADE UNIVERSITARIA,RECIFE,PE,F,"2002",S,L1,ENSINO FUNDAMENTAL,ENSINO MEDIO,N
336918,2020,1,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,AGUAS BELAS,PE,BRA,SÃO SEBASTIÃO,AGUAS BELAS,PE,M,"2002",N,A0,SUPERIOR INCOMPLETO,APERFEICOAMENTO,N
341151,2020,2,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,AMARAJI,PE,BRA,CENTRO,AMARAJI,PE,F,"2001",N,A0,ENSINO FUNDAMENTAL,SUPERIOR INCOMPLETO,N
340159,2020,1,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,ARAPIRACA,AL,BRA,CIDADE UNIVERSITARIA,RECIFE,PE,M,"1997",N,A0,SUPERIOR INCOMPLETO,ENSINO FUNDAMENTAL,N
342136,2020,2,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,BADAJOZ,BD,ESP,BOA VISTA,CARUARU,PE,F,"2001",S,L5,SUPERIOR INCOMPLETO,APERFEICOAMENTO,N
340196,2020,2,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,BELO JARDIM,PE,BRA,SAO PEDRO,BELO JARDIM,PE,F,"1995",S,L6,ENSINO FUNDAMENTAL,ENSINO FUNDAMENTAL,N
342052,2020,2,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,BELO JARDIM,PE,BRA,TANCREDO NEVES,BELO JARDIM,PE,F,"1998",S,L1,APERFEICOAMENTO,ENSINO FUNDAMENTAL,N
338261,2020,1,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,BELO JARDIM,PE,BRA,TANCREDO NEVES,BELO JARDIM,PE,F,"2002",N,A0,SUPERIOR INCOMPLETO,SUPERIOR INCOMPLETO,N
340209,2020,2,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,BELO JARDIM,PE,BRA,SANTO ANTONIO,BELO JARDIM,PE,F,"2002",S,L5,SUPERIOR INCOMPLETO,ENSINO FUNDAMENTAL,N
338368,2020,1,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,BELO JARDIM,PE,BRA,SAO PEDRO,BELO JARDIM,PE,F,"2003",N,A0,SUPERIOR INCOMPLETO,ENSINO FUNDAMENTAL,N
338186,2020,1,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,BELO JARDIM,PE,BRA,COHAB I,BELO JARDIM,PE,F,"2003",N,A0,ENSINO FUNDAMENTAL,SUPERIOR INCOMPLETO,N
338096,2020,1,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,BELO JARDIM,PE,BRA,COHAB I,BELO JARDIM,PE,M,"2002",N,A0,SUPERIOR INCOMPLETO,SUPERIOR INCOMPLETO,N
340964,2020,1,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,BELO JARDIM,PE,BRA,CENTRO,CUPIRA,PE,F,"1999",S,L2,ENSINO FUNDAMENTAL,ENSINO FUNDAMENTAL,N
308894,2020,1,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,BELO JARDIM,PE,BRA,CIDADE UNIVERSITARIA,RECIFE,PE,F,"1998",N,A0,SUPERIOR INCOMPLETO,SUPERIOR INCOMPLETO,N
340364,2020,2,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,BELO JARDIM,PE,BRA,CIDADE UNIVERSITARIA,RECIFE,PE,F,"1999",S,L2,ENSINO FUNDAMENTAL,ENSINO FUNDAMENTAL,N
332185,2020,2,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,BELO JARDIM,PE,BRA,CIDADE UNIVERSITARIA,RECIFE,PE,F,"2001",S,L1,ALFABETIZADO SEM CURSOS REGULARES,ENSINO FUNDAMENTAL,N
337956,2020,1,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,BELO JARDIM,PE,BRA,CIDADE UNIVERSITARIA,RECIFE,PE,M,"1999",S,L2,ENSINO FUNDAMENTAL,ENSINO FUNDAMENTAL,N
337007,2020,1,SISU,AGRESTE,1000,ADMINISTRAÇÃO -CAA,BEZERROS,PE,BRA,CENTRO,BEZERROS,PE,F,"1997",S,L5,SUPERIOR INCOMPLETO,ENSINO FUNDAMENTAL,N
